Date : 2025-11-19 14:16:42
Directory : /Users/msierradiego/Proyecto1
Total : 508 files,  71568 codes, 22869 comments, 14236 blanks, all 108673 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| PHP            |        387 |     56,047 |     21,874 |     11,713 |     89,634 |
| JSON           |         16 |      5,406 |          0 |         11 |      5,417 |
| PostCSS        |          5 |      3,770 |        477 |        694 |      4,941 |
| Markdown       |         44 |      2,767 |          8 |        958 |      3,733 |
| JavaScript JSX |         14 |      2,227 |         92 |        587 |      2,906 |
| MS SQL         |          1 |      1,021 |        380 |        223 |      1,624 |
| HTML           |          7 |        136 |          2 |         10 |        148 |
| YAML           |          3 |        101 |          3 |         16 |        120 |
| XML            |         28 |         70 |          0 |          3 |         73 |
| Docker         |          3 |         23 |         33 |         21 |         77 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        508 |     71,568 |     22,869 |     14,236 |    108,673 |
| . (Files)                                                                                                                    |          3 |      1,143 |        383 |        245 |      1,771 |
| App                                                                                                                          |        505 |     70,425 |     22,486 |     13,991 |    106,902 |
| App (Files)                                                                                                                  |          2 |        466 |          0 |          2 |        468 |
| App/API                                                                                                                      |          7 |        712 |          5 |        151 |        868 |
| App/core                                                                                                                     |         71 |      6,127 |        216 |      1,283 |      7,626 |
| App/core (Files)                                                                                                             |          1 |         19 |         25 |         18 |         62 |
| App/core/DTO                                                                                                                 |          4 |        124 |          0 |         27 |        151 |
| App/core/controller                                                                                                          |          8 |        710 |          7 |        175 |        892 |
| App/core/data                                                                                                                |         11 |      2,480 |        129 |        525 |      3,134 |
| App/core/helper                                                                                                              |          6 |        735 |         32 |        217 |        984 |
| App/core/model                                                                                                               |          7 |        253 |          3 |         52 |        308 |
| App/core/view                                                                                                                |         34 |      1,806 |         20 |        269 |      2,095 |
| App/core/view/templates                                                                                                      |         34 |      1,806 |         20 |        269 |      2,095 |
| App/core/view/templates/Admin                                                                                                |          1 |         14 |          0 |          3 |         17 |
| App/core/view/templates/Alumno                                                                                               |          6 |        223 |          0 |         28 |        251 |
| App/core/view/templates/Alumno (Files)                                                                                       |          4 |        146 |          0 |         14 |        160 |
| App/core/view/templates/Alumno/cards                                                                                         |          2 |         77 |          0 |         14 |         91 |
| App/core/view/templates/Auth                                                                                                 |          4 |        332 |          3 |         53 |        388 |
| App/core/view/templates/Empresa                                                                                              |         15 |        792 |          8 |        141 |        941 |
| App/core/view/templates/Empresa (Files)                                                                                      |         11 |        651 |          7 |        116 |        774 |
| App/core/view/templates/Empresa/cards                                                                                        |          4 |        141 |          1 |         25 |        167 |
| App/core/view/templates/landing                                                                                              |          1 |        113 |          8 |         11 |        132 |
| App/core/view/templates/layout                                                                                               |          2 |        209 |          0 |         27 |        236 |
| App/core/view/templates/partials                                                                                             |          5 |        123 |          1 |          6 |        130 |
| App/database                                                                                                                 |          1 |          2 |          4 |          2 |          8 |
| App/mail                                                                                                                     |          2 |        170 |         24 |         39 |        233 |
| App/public                                                                                                                   |         44 |      5,626 |        534 |      1,189 |      7,349 |
| App/public (Files)                                                                                                           |          1 |          6 |          0 |          6 |         12 |
| App/public/assets                                                                                                            |         43 |      5,620 |        534 |      1,183 |      7,337 |
| App/public/assets/css                                                                                                        |          3 |      3,351 |        442 |        594 |      4,387 |
| App/public/assets/images                                                                                                     |         26 |         42 |          0 |          2 |         44 |
| App/public/assets/js                                                                                                         |         14 |      2,227 |         92 |        587 |      2,906 |
| App/vendor                                                                                                                   |        378 |     57,322 |     21,703 |     11,325 |     90,350 |
| App/vendor (Files)                                                                                                           |          1 |         17 |          1 |          5 |         23 |
| App/vendor/composer                                                                                                          |         10 |      1,172 |        391 |        150 |      1,713 |
| App/vendor/dompdf                                                                                                            |        165 |     34,947 |     12,949 |      7,935 |     55,831 |
| App/vendor/dompdf/dompdf                                                                                                     |         92 |     25,071 |     10,214 |      5,507 |     40,792 |
| App/vendor/dompdf/dompdf (Files)                                                                                             |          4 |        260 |          0 |         76 |        336 |
| App/vendor/dompdf/dompdf/lib                                                                                                 |          9 |      7,026 |      1,696 |      1,091 |      9,813 |
| App/vendor/dompdf/dompdf/lib (Files)                                                                                         |          1 |      4,250 |      1,661 |        994 |      6,905 |
| App/vendor/dompdf/dompdf/lib/fonts                                                                                           |          6 |      2,373 |          0 |          0 |      2,373 |
| App/vendor/dompdf/dompdf/lib/res                                                                                             |          2 |        403 |         35 |         97 |        535 |
| App/vendor/dompdf/dompdf/src                                                                                                 |         79 |     17,785 |      8,518 |      4,340 |     30,643 |
| App/vendor/dompdf/dompdf/src (Files)                                                                                         |         13 |      4,357 |      2,950 |      1,104 |      8,411 |
| App/vendor/dompdf/dompdf/src/Adapter                                                                                         |          3 |      2,223 |        821 |        582 |      3,626 |
| App/vendor/dompdf/dompdf/src/Css                                                                                             |         14 |      4,828 |      1,934 |        997 |      7,759 |
| App/vendor/dompdf/dompdf/src/Css (Files)                                                                                     |          4 |      4,679 |      1,910 |        959 |      7,548 |
| App/vendor/dompdf/dompdf/src/Css/Content                                                                                     |         10 |        149 |         24 |         38 |        211 |
| App/vendor/dompdf/dompdf/src/Exception                                                                                       |          1 |         10 |         16 |          5 |         31 |
| App/vendor/dompdf/dompdf/src/Frame                                                                                           |          4 |        437 |        242 |         99 |        778 |
| App/vendor/dompdf/dompdf/src/FrameDecorator                                                                                  |         13 |      1,782 |      1,006 |        511 |      3,299 |
| App/vendor/dompdf/dompdf/src/FrameReflower                                                                                   |         12 |      2,284 |        841 |        588 |      3,713 |
| App/vendor/dompdf/dompdf/src/Image                                                                                           |          1 |        195 |         62 |         36 |        293 |
| App/vendor/dompdf/dompdf/src/Positioner                                                                                      |          9 |        275 |        165 |         68 |        508 |
| App/vendor/dompdf/dompdf/src/Renderer                                                                                        |          9 |      1,394 |        481 |        350 |      2,225 |
| App/vendor/dompdf/php-font-lib                                                                                               |         41 |      3,066 |        754 |        780 |      4,600 |
| App/vendor/dompdf/php-font-lib (Files)                                                                                       |          3 |         83 |          0 |         20 |        103 |
| App/vendor/dompdf/php-font-lib/src                                                                                           |         38 |      2,983 |        754 |        760 |      4,497 |
| App/vendor/dompdf/php-font-lib/src/FontLib                                                                                   |         38 |      2,983 |        754 |        760 |      4,497 |
| App/vendor/dompdf/php-font-lib/src/FontLib (Files)                                                                           |          5 |        563 |        142 |        159 |        864 |
| App/vendor/dompdf/php-font-lib/src/FontLib/EOT                                                                               |          2 |        146 |         83 |         42 |        271 |
| App/vendor/dompdf/php-font-lib/src/FontLib/Exception                                                                         |          1 |          9 |          0 |          2 |         11 |
| App/vendor/dompdf/php-font-lib/src/FontLib/Glyph                                                                             |          4 |        516 |         86 |        124 |        726 |
| App/vendor/dompdf/php-font-lib/src/FontLib/OpenType                                                                          |          2 |          8 |         21 |          7 |         36 |
| App/vendor/dompdf/php-font-lib/src/FontLib/Table                                                                             |         17 |      1,143 |        266 |        280 |      1,689 |
| App/vendor/dompdf/php-font-lib/src/FontLib/Table (Files)                                                                     |          2 |        130 |         44 |         48 |        222 |
| App/vendor/dompdf/php-font-lib/src/FontLib/Table/Type                                                                        |         15 |      1,013 |        222 |        232 |      1,467 |
| App/vendor/dompdf/php-font-lib/src/FontLib/TrueType                                                                          |          4 |        516 |        118 |        120 |        754 |
| App/vendor/dompdf/php-font-lib/src/FontLib/WOFF                                                                              |          3 |         82 |         38 |         26 |        146 |
| App/vendor/dompdf/php-svg-lib                                                                                                |         32 |      6,810 |      1,981 |      1,648 |     10,439 |
